"FIPS","state","county","votech","prod_bush","GDP2015","medinc1317","perc_HS_GED","totpop1317","urb2010","perclatino1317","trumpmarg"
4001,"AZ","apache county",2.61147052895219,0,2250396,32360,0.329593748571951,71602,0,0.0610876791151085,-0.36877646176108
4003,"AZ","cochise county",-9.61748452970103,0,4380945,47847,0.22979350695357,126516,0.40157294474137,0.349955736823801,0.225855795304424
4005,"AZ","coconino county",-1.49063901002013,0,6726556,53523,0.213382494865259,138639,0.535310702940761,0.138958013257453,-0.194417859289101
4007,"AZ","gila county",-1.19713000346326,0,1594995,41179,0.274591012632015,53145,0,0.186470975632703,0.323675109823348
4009,"AZ","graham county",4.42786399899845,0,718631,48173,0.313490364025696,37700,0,0.325305039787798,0.395678029985761
4011,"AZ","greenlee county",3.58415495631751,0,1114962,56298,0.37041480973603,9368,0,0.464133219470538,0.246685168054271
4012,"AZ","la paz county",1.24447447392074,0,566490,36479,0.369915036045314,20477,0,0.262880304732138,0.418373555059826
4013,"AZ","maricopa county",-9.65287945234215,0,215381372,58580,0.227748860786937,4155501,0.965680905248647,0.306039151476561,0.0344652867794738
4015,"AZ","mohave county",0.466885615119483,0,4477811,41567,0.355525238744884,204691,0.266886795280389,0.159220483558144,0.514510237366726
4017,"AZ","navajo county",3.52593154681133,0,3288295,38798,0.300178791253884,107902,0,0.11171247984282,0.0791606653675619
4019,"AZ","pima county",-10.2307901942047,0,37022816,48676,0.224648382507058,1007257,0.85124400288494,0.365956255454169,-0.134798010876977
4021,"AZ","pinal county",-2.46889283485161,0,6430319,52628,0.298609804460784,405537,0.532490619261782,0.296088889546453,0.193166675550344
4023,"AZ","santa cruz county",31.3322268636925,0,1454165,39630,0.264050974824255,46358,0,0.833793519996549,-0.471258207155299
4025,"AZ","yavapai county",-3.55079424674367,0,5678574,48259,0.258686523844077,220972,0.401567527353542,0.142588201220064,0.314259538693684
4027,"AZ","yuma county",17.076143355678,0,6030098,43253,0.259736798789807,204281,0.685850902421954,0.628864162599556,0.0552025319561323
6001,"CA","alameda county",-7.15420645818527,0,112766230,85743,0.178901969803775,1629615,0.99611394246463,0.22523172651209,-0.64443121682336
6003,"CA","alpine county",-12.1830144685085,0,105014,63438,0.341553637484587,1203,0,0.0972568578553616,-0.186086956521739
6005,"CA","amador county",-7.3982505562908,0,1327762,60636,0.270507374019963,37306,0,0.132498793759717,0.252240195507972
