"FIPS","state","county","votech","prod_bush","GDP2015","medinc1317","perc_HS_GED","totpop1317","urb2010","perclatino1317","trumpmarg","state_name","confirmed","deaths","cases_pc","W"
1001,"AL","autauga",2.80627488789872,52776,1539406,55317,0.336344097722883,55036,0.579978376793535,0.0266552801802457,0.494789343497831,"alabama",1989,28,0.0361399811032779,0.0418335604540508
1005,"AL","barbour",5.44855641260558,0,743779,33368,0.355267440598893,26201,0,0.042135796343651,0.056111645813282,"alabama",981,9,0.0374413190336247,0.0455792203439986
1007,"AL","bibb",0.0772848751310784,0,322307,43404,0.43874140866385,22580,0,0.0235163861824624,0.555441243712849,"alabama",785,13,0.0347652790079717,0.0318923316036194
1009,"AL","blount",-0.445767342753844,105834,819608,47412,0.32273590880304,57667,0.00673388925717874,0.0901208663533737,0.813819728963126,"alabama",1827,23,0.0316818977924983,0.0451706752066419
1011,"AL","bullock",2.92079476603051,43165,178902,29655,0.365866883557001,10478,0,0.00334033212445123,-0.508615188257817,"alabama",634,17,0.0605077304829166,0.0438415479493182
1013,"AL","butler",5.50847811470865,0,542129,36326,0.403854420404069,20126,0,0.00317996621285899,0.135290731145653,"alabama",996,40,0.049488224187618,0.0335377737612368
1015,"AL","calhoun",-3.35014047486589,87186,3999134,43686,0.322127255460589,115527,0.632113821138211,0.0356713149307088,0.413838230327592,"alabama",4084,59,0.0353510434790136,0.0301841351919144
1017,"AL","chambers",0.0267116364961462,0,731197,37342,0.384378428559372,33895,0,0.0215370998672371,0.148062128030193,"alabama",1266,43,0.0373506416875645,0.04220375308018
1019,"AL","cherokee",0.220676325060021,545908,440373,40041,0.381922647230941,25855,0,0.0158189905240766,0.693611349138341,"alabama",714,14,0.027615548249855,0.027845218348086
1021,"AL","chilton",0.859922100359034,0,805516,43501,0.434454658719736,43805,0,0.0769546855381806,0.666064092029581,"alabama",1787,31,0.0407944298596051,0.0433501492527577
1025,"AL","clarke",33.0907466616392,0,779734,33827,0.443413509839844,24625,0,0.00235532994923858,0.107993197278912,"alabama",1261,16,0.0512081218274112,0.0463065829778545
1027,"AL","clay",0.584955122019204,0,280002,37287,0.337176097303014,13407,0,0.0311031550682479,0.608034083992696,"alabama",703,12,0.0524352949951518,0.0431800899876598
1029,"AL","cleburne",1.51982621428962,9958,285859,37396,0.374217772215269,14939,0,0.0238302429881518,0.77372933251684,"alabama",520,7,0.0348082200950532,0.0512081218274112
1031,"AL","coffee",9.17595159294015,150056,1321986,49821,0.293355596499309,51073,0,0.0666105378575764,0.567006288694974,"alabama",1629,9,0.0318955220958236,0.0328533416844724
1035,"AL","conecuh",1.88215471971803,27534,268734,30434,0.479708162334701,12649,0,0.018262313226342,0.0525752712822863,"alabama",554,13,0.043797928690015,0.0413032689979964
1037,"AL","coosa",0.772153824030053,0,136743,34792,0.384748059627941,10955,0,0.00146052031036057,0.305571510626077,"alabama",196,3,0.0178913738019169,0.0358157439081391
1039,"AL","covington",8.54074220249027,66116,1069831,39467,0.355731374924288,37519,0,0.015618753165063,0.685484890630927,"alabama",1644,29,0.0438177989818492,0.0267886843092395
1041,"AL","crenshaw",7.18949925980513,26160,407739,38937,0.378076762619942,13866,0,0.0182460695225732,0.455534229046705,"alabama",588,30,0.0424058848983124,0.0308915937988644
1045,"AL","dale",10.2823401715118,31031,2844568,44711,0.325612833453497,49393,0.0509641599172156,0.0606158767436681,0.504377719288822,"alabama",1615,51,0.0326969408620655,0.0237526909594331
1051,"AL","elmore",5.7148461968647,92362,1639473,54981,0.340623756286407,80989,0.33992408862212,0.0285964760646508,0.519794065844736,"alabama",3081,52,0.0380422032621714,0.0237081801562734
1061,"AL","geneva",21.5672643580224,65886,450916,39293,0.356530590378228,26572,0.00451661067562523,0.0377841336745446,0.724333133201818,"alabama",829,7,0.0311982538009935,0.0235904034581343
1067,"AL","henry",13.6704360190455,46597,318571,45569,0.338612554648189,17110,0,0.0254237288135593,0.416240488960958,"alabama",628,6,0.0367036820572764,0.0260836229804942
1069,"AL","houston",13.6066775751476,53236,4346441,42803,0.318565933911676,104108,0.650920263523295,0.0323318092749837,0.476326433499881,"alabama",3623,32,0.0348003995850463,0.0293684062267323
1071,"AL","jackson",-0.0370387056219723,870206,1346872,39281,0.407391398314242,52326,0,0.0285326606276039,0.624488814048593,"alabama",1979,14,0.0378205863241983,0.0275390027118462
1073,"AL","jefferson",20.290530981853,0,42641286,49321,0.267582004616954,659460,0.899908271649561,0.0374427561944621,-0.0722723371399223,"alabama",22300,372,0.0338155460528311,0.021010976461429
1077,"AL","lauderdale",-2.76196480513599,750812,2462678,44888,0.352536094224924,92590,0.507048938075052,0.0246786910033481,0.460103573544946,"alabama",2043,40,0.022065017820499,0.0308198513303764
1081,"AL","lee",-6.20007389768777,0,6460162,47564,0.24510016008307,156597,0.725905010445856,0.0371207622112812,0.231220087396823,"alabama",6430,66,0.0410608121483809,0.0244205617467822
1083,"AL","limestone",-4.84961998611911,2430326,3427151,52831,0.307063751467648,91695,0.122442076779976,0.0580511478270353,0.494517766497462,"alabama",2683,27,0.0292600468945962,0.0322914847736193
1087,"AL","macon",-0.679619117941146,19207,420956,32308,0.323127035830619,19358,0,0.0162723421841099,-0.667924096936443,"alabama",528,19,0.0272755449943176,0.0193213285249703
1089,"AL","madison",-7.33181519658705,1338445,22603378,61318,0.210735080665343,353213,0.826006314009994,0.0473765121895287,0.167827782759464,"alabama",8951,92,0.0253416493730412,0.0211949522110612
