"ccode1","ccode2","edge","defense","mil_ratio","tot_trade","joint_dem","year"
2,40,3,0,0.88620329,6.0999999,0,1999
2,40,3,0,0.88772714,3.8100002,0,2000
2,40,3,0,0.88976979,7.48,0,2001
2,40,3,0,0.86196387,159.14999,0,2002
2,40,3,0,0.86141431,287.30002,0,2003
2,40,3,0,0.85976881,440.44,0,2004
2,40,3,0,0.85586035,397.87,0,2005
2,40,3,0,0.85073125,382.67001,0,2006
2,41,4,1,0.99887377,0,0,1946
2,41,4,1,0.99838012,0,0,1947
2,41,4,1,0.99795318,46,0,1948
2,41,4,1,0.99747068,48.299999,0,1949
2,41,4,1,0.99655604,52.400002,0,1950
2,41,4,1,0.99430978,66.900002,0,1951
2,41,4,1,0.99389213,69.099998,0,1952
2,41,4,1,0.99308664,48.400002,0,1953
2,41,4,1,0.9935739,56.599998,0,1954
2,41,4,1,0.99342746,43.599998,0,1955
2,41,4,1,0.99370152,45,0,1956
2,41,4,1,0.99387586,45,0,1957
2,41,4,1,0.993092,50,0,1958
2,41,4,1,0.99203581,35.900002,0,1959
2,41,4,1,0.99195832,42.32,0,1960
2,41,4,1,0.99190229,40.139999,0,1961
2,41,4,1,0.99127209,47.510002,0,1962
2,41,4,1,0.98821509,48.599998,0,1963
2,41,4,1,0.98588377,48.099998,0,1964
2,41,4,1,0.9859193,43.830002,0,1965
2,41,4,1,0.98709929,41.419998,0,1966
2,41,4,1,0.98680133,44.830002,0,1967
2,41,4,1,0.98731685,47.720001,0,1968
2,41,4,1,0.98781937,52.980003,0,1969
2,41,4,1,0.98842919,58.199997,0,1970
2,41,4,1,0.9889183,69.080002,0,1971
2,41,4,1,0.98978359,83.120003,0,1972
2,41,4,1,0.99014735,100.05,0,1973
2,41,4,1,0.99181122,170.73999,0,1974
2,41,4,1,0.99150819,189.17999,0,1975
2,41,4,1,0.99171478,269.60999,0,1976
2,41,4,1,0.99182767,282.02002,0,1977
2,41,4,1,0.99227387,301.64999,0,1978
2,41,4,1,0.99279636,356.46002,0,1979
2,41,4,1,0.9930647,453.15002,0,1980
2,41,4,1,0.99066848,482.64999,0,1981
2,41,4,1,0.99092704,654.06,0,1982
2,41,4,1,0.99101919,754.19,0,1983
2,41,4,1,0.99129039,855.72998,0,1984
2,41,4,1,0.99132586,779.19995,0,1985
2,41,4,1,0.9883818,666.13,0,1987
2,41,4,1,0.99001634,578.07001,0,1988
2,41,4,1,0.98776191,542.02002,0,1989
2,41,4,1,0.99479222,660.63,0,1990
2,41,4,1,0.99246186,728.41003,0,1991
2,41,4,1,0.98842984,348.95999,0,1992
2,41,4,1,0.99039948,519.44,0,2001
2,42,5,1,0.99790412,0,0,1946
2,42,5,1,0.99612767,0,0,1947
2,42,5,1,0.98351574,76.309998,0,1950
2,42,5,1,0.97106844,121.79,0,1953
2,42,5,1,0.97450799,136.95,0,1954
2,42,5,1,0.97680372,137.84,0,1955
2,42,5,1,0.96947771,158.10001,0,1958
2,42,5,1,0.96415323,160.64,0,1959
2,42,5,1,0.96764886,170.91,0,1960
2,42,5,1,0.96607161,130,0,1961
2,42,5,1,0.96258247,193.48,1,1962
2,42,5,1,0.95892864,239.79001,0,1963
2,42,5,1,0.95524436,255.10001,0,1964
2,42,5,1,0.95643288,172.56,0,1965
2,42,5,1,0.9573881,191.68001,0,1966
2,42,5,1,0.95895553,248.84,0,1967
2,42,5,1,0.95961595,286.21002,0,1968
2,42,5,1,0.96251285,299.29999,0,1969
2,42,5,1,0.96352136,338.20001,0,1970
2,42,5,1,0.96561569,349,0,1971
2,42,5,1,0.9659667,429.10001,0,1972
2,42,5,1,0.96735418,555.70001,0,1973
2,42,5,1,0.96446341,915.20001,0,1974
2,42,5,1,0.96336704,1111,0,1975
2,42,5,1,0.96225375,980.5,0,1976
2,42,5,1,0.96230531,1081.13,0,1977
2,42,5,1,0.96184146,986.52997,0,1978
2,42,5,1,0.94935304,1223.9,0,1979
2,42,5,1,0.94905835,1530.2,0,1980
2,42,5,1,0.96294773,1645.9,0,1981
2,42,5,1,0.9636699,1203.5,0,1982
2,42,5,1,0.96602881,1359.8101,0,1983
2,42,5,1,0.96281904,1539.96,0,1984
2,42,5,1,0.98515195,1549.47,0,1985
2,42,5,1,0.98078799,1759.71,0,1986
2,42,5,1,0.97905433,1927.66,0,1987
2,42,5,1,0.98307443,2202.6899,0,1988
2,42,5,1,0.98312414,2615.4102,0,1989
2,42,5,1,0.98415351,2735.1099,0,1990
2,42,5,1,0.99100804,3094.5701,0,1991
2,42,5,1,0.98684448,3551.8198,0,1992
2,42,5,1,0.97946775,3944.8701,0,1993
2,42,5,1,0.97428977,4336.9199,1,1996
2,42,5,1,0.97173196,9171.1201,1,1997
2,42,5,1,0.96993363,10005.41,1,1998
2,42,5,1,0.97062236,10160.41,1,1999
2,42,5,1,0.95984095,10781.609,1,2000
2,42,5,1,0.96267414,9944.8398,1,2001
2,42,5,1,0.95058233,8958.75,1,2002
2,42,5,1,0.96354645,9192.7598,1,2003
2,42,5,1,0.96548879,9414.8799,1,2004
2,42,5,1,0.94969922,9900.6406,1,2005
2,42,5,1,0.95442492,10531.891,1,2006
2,42,5,1,0.95530468,10819.62,1,2007
2,51,6,0,0.99558204,289,1,1967
2,51,6,0,0.99556667,294.89999,1,1968
2,51,6,1,0.99577093,345.41998,1,1969
2,51,6,1,0.99559683,427.34,1,1970
2,51,6,1,0.99075341,402.32001,1,1971
2,51,6,1,0.99053866,422.78998,1,1972
2,51,6,1,0.98829681,445.81,1,1973
2,51,6,1,0.98840678,581.80005,1,1974
2,51,6,1,0.99475384,757.62,1,1975
2,51,6,1,0.99445426,684.91003,1,1976
2,51,6,1,0.99449044,693.64001,1,1977
2,51,6,1,0.99171621,846.06,1,1978
2,51,6,1,0.99500513,722.28998,1,1979
2,51,6,1,0.99312878,790.17004,1,1980
2,51,6,1,0.99203932,934.91003,1,1981
2,51,6,1,0.99246663,813.20001,1,1982
2,51,6,1,0.99100971,815.68005,1,1983
2,51,6,1,0.99411154,959.71002,1,1984
2,51,6,1,0.99430257,776.08997,1,1985
2,51,6,1,0.99443179,813.34998,1,1986
2,51,6,1,0.9936347,1032.11,1,1987
2,51,6,1,0.99227285,1178.36,1,1988
2,51,6,1,0.99333495,1488.3999,1,1989
2,51,6,1,0.9926706,1516.39,1,1990
2,51,6,1,0.99443567,1542.4299,1,1991
2,51,6,1,0.99572653,1676.53,1,1992
2,51,6,1,0.99479383,1990.48,1,1993
2,51,6,1,0.99444717,1962.8401,1,1994
2,51,6,1,0.99413884,2457.5801,1,1995
2,51,6,1,0.9935472,2529.6799,1,1996
2,51,6,1,0.99070704,2338.8401,1,1997
2,51,6,1,0.98954093,2332.79,1,1998
2,51,6,1,0.98871183,2179.72,1,1999
2,51,6,1,0.99001324,2230.4199,1,2000
2,51,6,1,0.99039948,2040.5,1,2001
2,51,6,1,0.98814142,1986.0901,1,2002
2,51,6,1,0.98878032,2143,1,2003
2,51,6,1,0.99058002,1965.77,1,2004
2,51,6,1,0.99066818,2373.0999,1,2005
2,51,6,1,0.98941565,2780.6001,1,2006
2,51,6,1,0.98525065,3513.22,1,2007
2,52,7,1,0.99674278,258.89999,1,1967
2,52,7,1,0.99701607,292.29999,1,1968
2,52,7,1,0.99678475,317.89999,1,1969
2,52,7,1,0.99663073,355.88,1,1970
2,52,7,1,0.99651021,361.26999,1,1971
2,52,7,1,0.99657792,422.04999,1,1972
2,52,7,1,0.99695784,574.85999,1,1973
2,52,7,1,0.99688303,1602.0701,1,1974
2,52,7,1,0.99667305,1580.15,1,1975
2,52,7,1,0.99669206,1974.09,1,1976
2,52,7,1,0.99656856,2126.3,1,1977
2,52,7,1,0.99567467,1901.8401,1,1978
2,52,7,1,0.995215,2167.22,1,1979
2,52,7,1,0.99493408,3290.98,1,1980
2,52,7,1,0.99141502,3063.75,1,1981
2,52,7,1,0.99021739,2924.78,1,1982
2,52,7,1,0.9899829,2420.46,1,1983
2,52,7,1,0.99041158,2148.9099,1,1984
2,52,7,1,0.99058139,1902.98,1,1985
2,52,7,1,0.9881438,1411.4,1,1986
2,52,7,1,0.99166244,1454.0901,1,1989
2,52,7,1,0.99450123,1576.52,1,1991
2,52,7,1,0.99151444,1523.21,1,1992
2,52,7,1,0.99106348,1763.4299,1,1994
2,52,7,1,0.99080026,1932.13,1,1995
2,52,7,1,0.99038732,1923.3301,1,1996
2,52,7,1,0.99217027,2808.0898,1,1997
2,52,7,1,0.99119139,2425.8101,1,1998
2,52,7,1,0.99162984,2511.53,1,1999
2,52,7,1,0.98735768,3160.99,1,2000
2,52,7,1,0.986871,3913.79,1,2001
2,52,7,1,0.99255252,3906.7202,1,2002
2,52,7,1,0.98839021,5879.52,1,2003
2,52,7,1,0.98919344,7593.8101,1,2004
2,52,7,1,0.98818767,9925.21,1,2005
2,52,7,1,0.9900403,10598.681,1,2006
2,52,7,1,0.9901861,11299.04,1,2007
2,53,8,1,0.99830025,195.98999,1,1979
2,53,8,1,0.9968223,277.87,1,1980
2,53,8,1,0.99688923,282.09,1,1981
2,53,8,1,0.99763072,321.12,1,1982
2,53,8,1,0.99758077,495.19998,1,1983
2,53,8,1,0.99734199,572.02002,1,1984
2,53,8,1,0.99754167,457.13,1,1985
2,53,8,1,0.99771732,347.41,1,1986
2,53,8,1,0.99790913,232.44,1,1987
2,53,8,1,0.99675769,521.09003,1,2000
2,53,8,1,0.99678141,490.28,1,2001
2,53,8,1,0.99678534,475.82001,1,2002
2,53,8,1,0.99536914,498.42999,1,2003
2,53,8,1,0.99547684,558,1,2004
2,53,8,1,0.99545956,628.68005,1,2005
2,53,8,1,0.99550945,522.60999,1,2006
2,53,8,1,0.99560672,542.16003,1,2007
2,55,10,1,0.99789977,11.95,1,1982
2,55,10,1,0.99918145,10.21,1,1983
2,70,15,1,0.97634763,0,0,1946
2,70,15,1,0.9671728,0,0,1947
2,70,15,1,0.96035349,770.59998,0,1948
2,70,15,1,0.96308488,671.90002,0,1949
2,70,15,1,0.96241683,767.59998,0,1950
2,70,15,1,0.94154799,1010.3,0,1951
2,70,15,1,0.93877625,1069.9,0,1952
2,70,15,1,0.93812758,1075.9,0,1953
2,70,15,1,0.94751626,1026.6,0,1954
2,70,15,1,0.95344913,1150,0,1955
2,70,15,1,0.95118058,1291.5,0,1956
2,70,15,1,0.94472951,1374.7,0,1957
2,70,15,1,0.94109672,1388,0,1958
